0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1454.0,1.0,0.5,1.0,1.0,0.0,34.0,0.7,83.0,4.0,3.0,250.0,1033.0,3419.0,7.0,5.0,5.0,1.0,1.0,0.0,3.0
1092.0,1.0,0.5,1.0,10.0,0.0,11.0,0.5,167.0,3.0,14.0,468.0,571.0,737.0,14.0,4.0,11.0,0.0,1.0,0.0,0.0
1524.0,1.0,1.8,1.0,0.0,0.0,10.0,0.6,174.0,4.0,1.0,154.0,550.0,2678.0,16.0,5.0,13.0,1.0,0.0,1.0,2.0
1807.0,1.0,2.1,0.0,2.0,0.0,49.0,0.8,125.0,1.0,10.0,337.0,1384.0,1906.0,17.0,13.0,13.0,0.0,1.0,1.0,2.0
1086.0,1.0,1.7,1.0,0.0,1.0,43.0,0.2,111.0,6.0,1.0,56.0,1150.0,3285.0,11.0,5.0,17.0,1.0,1.0,0.0,2.0
909.0,1.0,0.5,1.0,9.0,0.0,30.0,0.4,97.0,3.0,10.0,290.0,773.0,594.0,12.0,0.0,4.0,1.0,1.0,1.0,0.0
642.0,1.0,0.5,0.0,0.0,1.0,38.0,0.8,86.0,5.0,10.0,887.0,1775.0,435.0,9.0,2.0,2.0,1.0,1.0,0.0,0.0
888.0,0.0,2.6,1.0,2.0,1.0,33.0,0.4,198.0,2.0,17.0,327.0,1683.0,3407.0,12.0,1.0,20.0,1.0,0.0,0.0,3.0
914.0,1.0,0.7,0.0,1.0,1.0,60.0,0.9,198.0,5.0,4.0,740.0,840.0,3736.0,14.0,8.0,5.0,1.0,0.0,0.0,3.0
1131.0,1.0,0.5,1.0,11.0,0.0,49.0,0.6,101.0,5.0,18.0,658.0,878.0,1835.0,19.0,13.0,16.0,1.0,1.0,0.0,1.0
1020.0,0.0,1.5,0.0,13.0,1.0,7.0,0.7,96.0,3.0,18.0,870.0,1613.0,1142.0,13.0,9.0,8.0,1.0,0.0,1.0,1.0
790.0,0.0,0.5,1.0,7.0,1.0,44.0,0.1,89.0,8.0,8.0,1100.0,1437.0,3424.0,13.0,11.0,9.0,1.0,1.0,0.0,3.0
1617.0,1.0,1.3,1.0,3.0,1.0,30.0,0.7,105.0,2.0,4.0,246.0,1038.0,829.0,9.0,0.0,10.0,1.0,0.0,0.0,0.0
1562.0,1.0,1.3,1.0,1.0,1.0,7.0,0.2,190.0,5.0,15.0,642.0,1533.0,2243.0,12.0,10.0,6.0,1.0,0.0,0.0,2.0
808.0,0.0,0.5,1.0,0.0,0.0,8.0,0.1,192.0,4.0,1.0,618.0,1891.0,3762.0,15.0,9.0,12.0,1.0,0.0,1.0,3.0
1799.0,0.0,1.0,0.0,1.0,1.0,30.0,0.6,123.0,3.0,9.0,617.0,1386.0,445.0,10.0,8.0,10.0,1.0,1.0,0.0,0.0
1406.0,0.0,0.5,1.0,2.0,1.0,34.0,0.8,98.0,3.0,5.0,1017.0,1366.0,3915.0,9.0,8.0,2.0,1.0,0.0,1.0,3.0
1788.0,0.0,0.5,0.0,0.0,1.0,6.0,0.2,141.0,6.0,16.0,149.0,1022.0,2321.0,7.0,5.0,20.0,1.0,1.0,0.0,2.0
1330.0,1.0,1.8,1.0,1.0,0.0,40.0,0.5,177.0,1.0,5.0,194.0,892.0,2678.0,9.0,4.0,14.0,1.0,1.0,1.0,2.0
1093.0,0.0,1.9,1.0,2.0,1.0,22.0,0.3,196.0,8.0,14.0,238.0,807.0,1869.0,8.0,5.0,4.0,1.0,1.0,1.0,1.0
1027.0,1.0,0.8,0.0,7.0,0.0,18.0,1.0,146.0,7.0,11.0,338.0,534.0,1234.0,7.0,4.0,14.0,1.0,0.0,1.0,0.0
1971.0,1.0,0.5,1.0,0.0,0.0,40.0,0.3,186.0,7.0,19.0,485.0,922.0,571.0,8.0,7.0,17.0,1.0,1.0,0.0,0.0
1567.0,0.0,2.1,1.0,3.0,0.0,22.0,0.8,153.0,3.0,19.0,190.0,1326.0,3991.0,15.0,2.0,10.0,1.0,0.0,0.0,3.0
586.0,1.0,0.6,0.0,16.0,1.0,42.0,0.3,121.0,7.0,17.0,785.0,1118.0,1869.0,12.0,2.0,7.0,1.0,1.0,1.0,1.0
1709.0,1.0,0.8,0.0,8.0,1.0,58.0,0.8,136.0,2.0,10.0,956.0,1292.0,1781.0,18.0,3.0,17.0,1.0,0.0,0.0,2.0
1339.0,1.0,2.3,1.0,0.0,0.0,40.0,0.1,123.0,2.0,1.0,212.0,1269.0,2382.0,6.0,4.0,7.0,1.0,0.0,1.0,2.0
1589.0,1.0,2.2,1.0,2.0,0.0,58.0,0.1,128.0,4.0,4.0,957.0,1911.0,3961.0,16.0,14.0,14.0,1.0,0.0,1.0,3.0
727.0,1.0,1.5,0.0,0.0,1.0,32.0,1.0,131.0,7.0,1.0,813.0,1377.0,1891.0,19.0,13.0,7.0,1.0,0.0,1.0,1.0
1062.0,1.0,2.5,1.0,6.0,0.0,10.0,0.9,160.0,1.0,13.0,1596.0,1807.0,3803.0,7.0,3.0,16.0,0.0,0.0,1.0,3.0
1854.0,0.0,0.9,1.0,0.0,1.0,33.0,0.4,195.0,1.0,0.0,665.0,718.0,1675.0,14.0,12.0,9.0,1.0,0.0,1.0,1.0
1449.0,1.0,0.5,1.0,0.0,0.0,52.0,0.6,105.0,6.0,0.0,211.0,947.0,2036.0,5.0,1.0,10.0,0.0,1.0,0.0,1.0
1510.0,1.0,2.5,1.0,11.0,0.0,47.0,0.7,138.0,2.0,13.0,118.0,1170.0,887.0,18.0,6.0,5.0,0.0,0.0,0.0,0.0
1749.0,1.0,0.5,1.0,7.0,1.0,49.0,0.8,178.0,1.0,8.0,470.0,775.0,2195.0,5.0,4.0,4.0,1.0,0.0,1.0,2.0
1339.0,1.0,0.5,1.0,10.0,1.0,21.0,0.5,80.0,4.0,11.0,833.0,1441.0,867.0,8.0,3.0,3.0,1.0,1.0,0.0,0.0
643.0,0.0,1.0,0.0,9.0,1.0,18.0,0.2,187.0,8.0,12.0,442.0,1079.0,2648.0,7.0,5.0,18.0,1.0,1.0,1.0,1.0
1755.0,1.0,1.3,0.0,0.0,1.0,24.0,0.1,134.0,7.0,2.0,286.0,1075.0,3937.0,8.0,1.0,7.0,1.0,0.0,1.0,3.0
1081.0,1.0,2.5,1.0,13.0,0.0,49.0,1.0,99.0,3.0,17.0,284.0,519.0,325.0,9.0,1.0,6.0,0.0,0.0,1.0,0.0
637.0,0.0,2.3,0.0,3.0,1.0,60.0,0.8,97.0,4.0,4.0,1125.0,1989.0,374.0,18.0,4.0,8.0,1.0,0.0,1.0,0.0
1889.0,0.0,2.8,0.0,5.0,1.0,31.0,1.0,132.0,1.0,10.0,170.0,1106.0,3672.0,5.0,1.0,3.0,1.0,1.0,1.0,3.0
1456.0,0.0,1.6,1.0,5.0,0.0,49.0,0.2,193.0,3.0,20.0,1285.0,1427.0,3624.0,12.0,11.0,16.0,1.0,1.0,0.0,3.0
956.0,0.0,0.5,0.0,1.0,1.0,41.0,1.0,143.0,7.0,6.0,511.0,1075.0,3286.0,17.0,8.0,12.0,1.0,1.0,0.0,3.0
769.0,1.0,1.2,0.0,2.0,0.0,17.0,0.1,95.0,8.0,4.0,1384.0,1454.0,1877.0,18.0,2.0,11.0,0.0,0.0,1.0,1.0
1240.0,0.0,1.6,0.0,0.0,0.0,39.0,0.1,146.0,2.0,9.0,1511.0,1756.0,3260.0,13.0,1.0,17.0,0.0,0.0,1.0,3.0
595.0,0.0,0.9,1.0,7.0,1.0,23.0,0.1,121.0,3.0,17.0,441.0,810.0,3752.0,10.0,2.0,18.0,1.0,1.0,0.0,3.0
1057.0,1.0,2.7,0.0,3.0,1.0,41.0,0.1,97.0,4.0,10.0,397.0,891.0,2033.0,16.0,9.0,2.0,1.0,1.0,0.0,1.0
1928.0,1.0,1.8,0.0,9.0,1.0,19.0,1.0,187.0,3.0,20.0,691.0,1580.0,3777.0,7.0,2.0,13.0,1.0,1.0,1.0,3.0
899.0,0.0,0.5,1.0,13.0,1.0,57.0,0.9,172.0,2.0,18.0,788.0,1331.0,364.0,11.0,1.0,7.0,1.0,1.0,0.0,0.0
615.0,1.0,0.5,1.0,0.0,0.0,42.0,0.6,163.0,6.0,4.0,104.0,1664.0,2211.0,7.0,4.0,18.0,0.0,0.0,1.0,1.0
648.0,1.0,0.5,1.0,9.0,1.0,54.0,0.4,109.0,5.0,20.0,1153.0,1817.0,3124.0,5.0,0.0,13.0,1.0,0.0,0.0,3.0
1344.0,0.0,1.5,0.0,1.0,0.0,14.0,0.5,190.0,1.0,3.0,419.0,556.0,2074.0,8.0,1.0,5.0,1.0,1.0,0.0,1.0
1772.0,1.0,1.6,0.0,17.0,1.0,45.0,0.5,159.0,2.0,18.0,837.0,1405.0,1146.0,6.0,1.0,17.0,1.0,1.0,0.0,1.0
948.0,0.0,2.3,0.0,14.0,0.0,22.0,0.1,173.0,5.0,20.0,257.0,1654.0,3499.0,11.0,7.0,19.0,1.0,1.0,1.0,3.0
1114.0,0.0,2.8,0.0,4.0,1.0,9.0,0.4,197.0,3.0,15.0,1040.0,1071.0,907.0,10.0,7.0,17.0,1.0,1.0,0.0,0.0
1853.0,1.0,1.0,0.0,2.0,0.0,23.0,0.4,92.0,1.0,15.0,202.0,1951.0,2775.0,14.0,4.0,17.0,1.0,0.0,0.0,3.0
823.0,1.0,0.5,0.0,0.0,0.0,39.0,0.4,187.0,8.0,4.0,630.0,888.0,294.0,13.0,9.0,11.0,0.0,0.0,1.0,0.0
1231.0,0.0,0.7,1.0,2.0,0.0,7.0,0.9,113.0,1.0,7.0,43.0,1663.0,3119.0,9.0,4.0,15.0,1.0,1.0,0.0,3.0
1122.0,0.0,1.2,0.0,9.0,0.0,2.0,0.6,120.0,4.0,14.0,331.0,790.0,3291.0,11.0,2.0,13.0,1.0,1.0,1.0,2.0
930.0,1.0,0.5,1.0,3.0,1.0,34.0,0.5,190.0,4.0,16.0,1050.0,1726.0,2131.0,7.0,2.0,6.0,1.0,0.0,1.0,2.0
1576.0,0.0,2.6,0.0,7.0,0.0,58.0,0.2,90.0,3.0,16.0,400.0,631.0,336.0,14.0,8.0,13.0,1.0,1.0,1.0,0.0
875.0,1.0,1.4,1.0,1.0,1.0,43.0,0.6,104.0,8.0,3.0,902.0,969.0,3396.0,14.0,2.0,18.0,1.0,0.0,0.0,3.0
966.0,0.0,2.0,0.0,8.0,1.0,34.0,0.5,118.0,2.0,10.0,214.0,1523.0,3534.0,18.0,17.0,11.0,1.0,1.0,1.0,3.0
826.0,1.0,2.4,1.0,14.0,1.0,57.0,0.6,117.0,2.0,17.0,1077.0,1183.0,1907.0,15.0,14.0,5.0,1.0,0.0,0.0,1.0
808.0,0.0,2.3,0.0,3.0,0.0,45.0,0.8,161.0,1.0,9.0,526.0,1324.0,3431.0,15.0,6.0,13.0,0.0,1.0,1.0,3.0
818.0,0.0,0.5,1.0,2.0,1.0,23.0,0.2,192.0,5.0,17.0,586.0,1552.0,2518.0,19.0,12.0,3.0,1.0,1.0,0.0,2.0
1054.0,1.0,1.8,1.0,3.0,1.0,40.0,0.8,196.0,7.0,10.0,27.0,774.0,2296.0,16.0,12.0,12.0,1.0,0.0,1.0,1.0
967.0,1.0,1.6,0.0,4.0,0.0,25.0,0.6,92.0,8.0,9.0,243.0,1642.0,3076.0,7.0,4.0,18.0,0.0,1.0,1.0,2.0
979.0,0.0,0.5,1.0,0.0,1.0,5.0,0.5,164.0,7.0,2.0,793.0,1670.0,3449.0,5.0,2.0,14.0,1.0,0.0,0.0,3.0
580.0,1.0,2.1,1.0,0.0,0.0,24.0,0.4,135.0,4.0,5.0,404.0,898.0,3565.0,12.0,11.0,8.0,1.0,0.0,1.0,2.0
1260.0,1.0,2.0,1.0,2.0,1.0,23.0,0.2,123.0,7.0,10.0,905.0,1313.0,2208.0,12.0,11.0,10.0,1.0,0.0,1.0,2.0
1182.0,0.0,0.5,0.0,7.0,1.0,8.0,0.5,138.0,8.0,16.0,275.0,986.0,2563.0,19.0,17.0,19.0,1.0,0.0,0.0,2.0
1662.0,0.0,0.5,0.0,0.0,1.0,61.0,0.8,126.0,4.0,13.0,32.0,1509.0,3760.0,9.0,5.0,13.0,1.0,1.0,1.0,3.0
1187.0,0.0,2.3,0.0,0.0,1.0,21.0,0.2,122.0,6.0,6.0,215.0,1125.0,2547.0,10.0,3.0,5.0,1.0,1.0,0.0,2.0
1680.0,1.0,1.2,1.0,6.0,1.0,37.0,0.7,168.0,4.0,7.0,679.0,1231.0,1459.0,15.0,3.0,2.0,1.0,1.0,0.0,1.0
942.0,0.0,1.4,1.0,8.0,0.0,27.0,0.5,91.0,4.0,9.0,754.0,1532.0,587.0,6.0,3.0,13.0,0.0,1.0,1.0,0.0
1723.0,1.0,1.0,0.0,1.0,1.0,7.0,0.6,126.0,3.0,17.0,384.0,1361.0,1213.0,5.0,0.0,16.0,1.0,1.0,1.0,1.0
1986.0,1.0,0.5,1.0,7.0,1.0,39.0,0.1,89.0,7.0,19.0,251.0,599.0,3476.0,11.0,8.0,17.0,1.0,1.0,0.0,3.0
